date,time,tide_height,tide_ht,date_time
2017-01-01,05:24,3.259,H,2017-01-01 05:24
2017-01-01,11:18,0.419,L,2017-01-01 11:18
2017-01-01,17:36,3.683,H,2017-01-01 17:36
2017-01-02,00:00,-0.004,L,2017-01-02 00:00
2017-01-02,06:00,3.082,H,2017-01-02 06:00
2017-01-02,12:06,0.107,L,2017-01-02 12:06
2017-01-02,18:12,3.37,H,2017-01-02 18:12
2017-01-03,00:42,-0.099,L,2017-01-03 00:42
2017-01-03,06:48,3.119,H,2017-01-03 06:48
2017-01-03,12:48,0.205,L,2017-01-03 12:48
2017-01-03,19:12,3.544,H,2017-01-03 19:12
2017-01-04,01:18,0.342,L,2017-01-04 01:18
2017-01-04,07:30,3.733,H,2017-01-04 07:30
2017-01-04,14:00,0.728,L,2017-01-04 14:00
2017-01-04,19:30,3.606,H,2017-01-04 19:30
2017-01-05,02:06,0.339,L,2017-01-05 02:06
2017-01-05,08:18,3.309,H,2017-01-05 08:18
2017-01-05,14:36,0.199,L,2017-01-05 14:36
2017-01-05,20:54,3.277,H,2017-01-05 20:54
2017-01-06,03:06,0.045,L,2017-01-06 03:06
2017-01-06,09:24,3.231,H,2017-01-06 09:24
2017-01-06,15:24,0.252,L,2017-01-06 15:24
2017-01-06,21:36,3.358,H,2017-01-06 21:36
2017-01-07,04:00,0.128,L,2017-01-07 04:00
2017-01-07,10:18,3.433,H,2017-01-07 10:18
2017-01-07,16:42,0.163,L,2017-01-07 16:42
2017-01-07,22:48,3.205,H,2017-01-07 22:48
2017-01-08,04:42,0.278,L,2017-01-08 04:42
2017-01-08,11:30,3.71,H,2017-01-08 11:30
2017-01-08,17:42,0.187,L,2017-01-08 17:42
2017-01-08,23:48,3.145,H,2017-01-08 23:48
2017-01-09,05:54,-0.132,L,2017-01-09 05:54
2017-01-09,12:18,3.522,H,2017-01-09 12:18
2017-01-09,18:48,-0.196,L,2017-01-09 18:48
2017-01-10,00:54,3.125,H,2017-01-10 00:54
2017-01-10,06:54,-0.121,L,2017-01-10 06:54
2017-01-10,13:12,3.834,H,2017-01-10 13:12
2017-01-10,19:42,-0.398,L,2017-01-10 19:42
2017-01-11,01:54,3.428,H,2017-01-11 01:54
2017-01-11,07:54,0.037,L,2017-01-11 07:54
2017-01-11,14:18,4.084,H,2017-01-11 14:18
2017-01-11,20:30,-0.514,L,2017-01-11 20:30
2017-01-12,02:42,3.45,H,2017-01-12 02:42
2017-01-12,08:48,-0.214,L,2017-01-12 08:48
2017-01-12,15:18,4.099,H,2017-01-12 15:18
2017-01-12,21:36,-0.419,L,2017-01-12 21:36
2017-01-13,03:36,3.621,H,2017-01-13 03:36
2017-01-13,09:48,-0.278,L,2017-01-13 09:48
2017-01-13,15:54,3.818,H,2017-01-13 15:54
2017-01-13,22:24,-0.656,L,2017-01-13 22:24
2017-01-14,04:30,3.25,H,2017-01-14 04:30
2017-01-14,10:36,-0.394,L,2017-01-14 10:36
2017-01-14,16:48,3.668,H,2017-01-14 16:48
2017-01-14,23:12,-0.548,L,2017-01-14 23:12
2017-01-15,05:24,3.447,H,2017-01-15 05:24
2017-01-15,11:24,-0.173,L,2017-01-15 11:24
2017-01-15,17:36,3.671,H,2017-01-15 17:36
2017-01-16,00:00,-0.374,L,2017-01-16 00:00
2017-01-16,06:06,3.389,H,2017-01-16 06:06
2017-01-16,12:18,-0.061,L,2017-01-16 12:18
2017-01-16,18:30,3.484,H,2017-01-16 18:30
2017-01-17,00:48,-0.221,L,2017-01-17 00:48
2017-01-17,07:00,3.218,H,2017-01-17 07:00
2017-01-17,13:06,0.046,L,2017-01-17 13:06
2017-01-17,19:18,3.279,H,2017-01-17 19:18
2017-01-18,01:30,-0.043,L,2017-01-18 01:30
2017-01-18,08:00,3.351,H,2017-01-18 08:00
2017-01-18,14:00,0.373,L,2017-01-18 14:00
2017-01-18,20:12,3.272,H,2017-01-18 20:12
2017-01-19,02:24,0.307,L,2017-01-19 02:24
2017-01-19,08:42,3.35,H,2017-01-19 08:42
2017-01-19,15:00,0.432,L,2017-01-19 15:00
2017-01-19,21:06,3.096,H,2017-01-19 21:06
2017-01-20,03:18,0.354,L,2017-01-20 03:18
2017-01-20,09:42,3.209,H,2017-01-20 09:42
2017-01-20,15:48,0.467,L,2017-01-20 15:48
2017-01-20,22:06,3.015,H,2017-01-20 22:06
2017-01-21,04:18,0.537,L,2017-01-21 04:18
2017-01-21,10:30,3.239,H,2017-01-21 10:30
2017-01-21,16:48,0.536,L,2017-01-21 16:48
2017-01-21,22:54,2.983,H,2017-01-21 22:54
2017-01-22,05:06,0.575,L,2017-01-22 05:06
2017-01-22,11:18,3.277,H,2017-01-22 11:18
2017-01-22,17:48,0.526,L,2017-01-22 17:48
2017-01-23,00:00,2.996,H,2017-01-23 00:00
2017-01-23,05:54,0.634,L,2017-01-23 05:54
2017-01-23,12:24,3.312,H,2017-01-23 12:24
2017-01-23,18:36,0.517,L,2017-01-23 18:36
2017-01-24,00:54,3.029,H,2017-01-24 00:54
2017-01-24,07:00,0.796,L,2017-01-24 07:00
2017-01-24,13:24,3.562,H,2017-01-24 13:24
2017-01-24,19:30,0.73,L,2017-01-24 19:30
2017-01-25,01:48,3.428,H,2017-01-25 01:48
2017-01-25,07:42,0.893,L,2017-01-25 07:42
2017-01-25,13:42,3.719,H,2017-01-25 13:42
2017-01-25,20:24,0.459,L,2017-01-25 20:24
2017-01-26,02:24,3.195,H,2017-01-26 02:24
2017-01-26,08:24,0.551,L,2017-01-26 08:24
2017-01-26,14:36,3.691,H,2017-01-26 14:36
