year,date,time,date_time,temp,tz,temp_C
2016,2016-06-15,12:00:00,2016-06-15T12:00:00Z,59.873,EST,15.485
2016,2016-06-15,13:00:00,2016-06-15T13:00:00Z,66.814,EST,19.341111111111108
2016,2016-06-15,14:00:00,2016-06-15T14:00:00Z,70.416,EST,21.342222222222222
2016,2016-06-15,15:00:00,2016-06-15T15:00:00Z,67.714,EST,19.84111111111111
2016,2016-06-15,16:00:00,2016-06-15T16:00:00Z,56.469,EST,13.59388888888889
2016,2016-06-15,17:00:00,2016-06-15T17:00:00Z,52.246,EST,11.24777777777778
2016,2016-06-15,18:00:00,2016-06-15T18:00:00Z,49.383,EST,9.657222222222224
2016,2016-06-15,19:00:00,2016-06-15T19:00:00Z,48.85,EST,9.361111111111112
2016,2016-06-15,20:00:00,2016-06-15T20:00:00Z,48.405,EST,9.11388888888889
2016,2016-06-15,21:00:00,2016-06-15T21:00:00Z,47.647,EST,8.692777777777778
2016,2016-06-15,22:00:00,2016-06-15T22:00:00Z,48.137,EST,8.965
2016,2016-06-15,23:00:00,2016-06-15T23:00:00Z,48.36,EST,9.088888888888889
2016,2016-06-16,00:00:00,2016-06-16T00:00:00Z,48.583,EST,9.212777777777777
2016,2016-06-16,01:00:00,2016-06-16T01:00:00Z,48.405,EST,9.11388888888889
2016,2016-06-16,02:00:00,2016-06-16T02:00:00Z,48.36,EST,9.088888888888889
2016,2016-06-16,03:00:00,2016-06-16T03:00:00Z,45.036,EST,7.242222222222224
2016,2016-06-16,04:00:00,2016-06-16T04:00:00Z,42.755,EST,5.975000000000001
2016,2016-06-16,05:00:00,2016-06-16T05:00:00Z,47.422,EST,8.567777777777776
2016,2016-06-16,06:00:00,2016-06-16T06:00:00Z,47.602,EST,8.667777777777776
2016,2016-06-16,07:00:00,2016-06-16T07:00:00Z,48.272,EST,9.04
2016,2016-06-16,08:00:00,2016-06-16T08:00:00Z,48.762,EST,9.312222222222223
2016,2016-06-16,09:00:00,2016-06-16T09:00:00Z,49.383,EST,9.657222222222224
2016,2016-06-16,10:00:00,2016-06-16T10:00:00Z,50.311,EST,10.172777777777778
2016,2016-06-16,11:00:00,2016-06-16T11:00:00Z,50.445,EST,10.247222222222224
2016,2016-06-16,12:00:00,2016-06-16T12:00:00Z,53.341,EST,11.856111111111112
2016,2016-06-16,13:00:00,2016-06-16T13:00:00Z,55.992,EST,13.328888888888889
2016,2016-06-16,14:00:00,2016-06-16T14:00:00Z,64.888,EST,18.271111111111114
2016,2016-06-16,15:00:00,2016-06-16T15:00:00Z,67.5,EST,19.72222222222222
2016,2016-06-16,16:00:00,2016-06-16T16:00:00Z,69.085,EST,20.602777777777774
2016,2016-06-16,17:00:00,2016-06-16T17:00:00Z,57.42,EST,14.122222222222224
2016,2016-06-16,18:00:00,2016-06-16T18:00:00Z,52.992,EST,11.662222222222221
